LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
10402,ALBANY,RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,124,18.50%,139,20.80%,263,39.30%,DISTRICT TOTAL,SCHOOL DISTRICT,15 MOUNTAIN RD,RAVENA,NY,12143,"15 MOUNTAIN RD
RAVENA, NY 12143
(42.47227638700048, -73.81484141099963)"
10402,ALBANY,RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,74,19.20%,72,18.70%,146,37.90%,ELEMENTARY,SCHOOL DISTRICT,15 MOUNTAIN RD,RAVENA,NY,12143,"15 MOUNTAIN RD
RAVENA, NY 12143
(42.47227638700048, -73.81484141099963)"
10402,ALBANY,RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,50,17.60%,67,23.60%,117,41.20%,MIDDLE/HIGH,SCHOOL DISTRICT,15 MOUNTAIN RD,RAVENA,NY,12143,"15 MOUNTAIN RD
RAVENA, NY 12143
(42.47227638700048, -73.81484141099963)"
10500,ALBANY,COHOES CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,84,17.20%,124,25.40%,208,42.50%,DISTRICT TOTAL,SCHOOL DISTRICT,7 BEVAN ST,COHOES,NY,12047,"7 BEVAN ST
COHOES, NY 12047
(42.771285452000484, -73.71046311499964)"
10500,ALBANY,COHOES CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,58,16.10%,89,24.70%,147,40.80%,ELEMENTARY,SCHOOL DISTRICT,7 BEVAN ST,COHOES,NY,12047,"7 BEVAN ST
COHOES, NY 12047
(42.771285452000484, -73.71046311499964)"
10500,ALBANY,COHOES CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,26,20.20%,35,27.10%,61,47.30%,MIDDLE/HIGH,SCHOOL DISTRICT,7 BEVAN ST,COHOES,NY,12047,"7 BEVAN ST
COHOES, NY 12047
(42.771285452000484, -73.71046311499964)"
10601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,231,15.90%,262,18.10%,493,34%,DISTRICT TOTAL,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,"102 LORALEE DR
ALBANY, NY 12205
(42.73352407800047, -73.84142054399967)"
10601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,145,17.40%,169,20.30%,314,37.80%,ELEMENTARY,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,"102 LORALEE DR
ALBANY, NY 12205
(42.73352407800047, -73.84142054399967)"
10601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,86,13.90%,95,15.30%,181,29.20%,MIDDLE/HIGH,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,"102 LORALEE DR
ALBANY, NY 12205
(42.73352407800047, -73.84142054399967)"
10623,ALBANY,NORTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,237,16.30%,225,15.50%,462,31.80%,DISTRICT TOTAL,SCHOOL DISTRICT,91 FIDDLERS LN,LATHAM,NY,12110,"91 FIDDLERS LN
LATHAM, NY 12110
(42.72935391700048, -73.74701579899966)"
10623,ALBANY,NORTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,94,15.50%,78,12.90%,172,28.40%,ELEMENTARY,SCHOOL DISTRICT,91 FIDDLERS LN,LATHAM,NY,12110,"91 FIDDLERS LN
LATHAM, NY 12110
(42.72935391700048, -73.74701579899966)"
10623,ALBANY,NORTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,143,16.90%,147,17.30%,290,34.20%,MIDDLE/HIGH,SCHOOL DISTRICT,91 FIDDLERS LN,LATHAM,NY,12110,"91 FIDDLERS LN
LATHAM, NY 12110
(42.72935391700048, -73.74701579899966)"
10701,ALBANY,GREEN ISLAND UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,12,17.60%,19,27.90%,31,45.60%,DISTRICT TOTAL,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,NY,12183,"171 HUDSON AVE
GREEN ISLAND, NY 12183
(42.74619105800048, -73.69017488899965)"
10701,ALBANY,GREEN ISLAND UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,,,15,35.70%,15,35.70%,ELEMENTARY,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,NY,12183,"171 HUDSON AVE
GREEN ISLAND, NY 12183
(42.74619105800048, -73.69017488899965)"
10701,ALBANY,GREEN ISLAND UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,NY,12183,"171 HUDSON AVE
GREEN ISLAND, NY 12183
(42.74619105800048, -73.69017488899965)"
10802,ALBANY,GUILDERLAND CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,192,13%,193,13.10%,385,26.10%,DISTRICT TOTAL,SCHOOL DISTRICT,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085,"8 SCHOOL RD
GUILDERLAND CENTER, NY 12085
(42.70288977200045, -73.96575979499966)"
