zip_code,Median,Mean,Pop
10001,71244.61,123112.7764,17678
10002,30843.9574,46258.6118,70878
10003,89998.5339,139330.9968,53609
10004,110183.6857,156682.7615,1271
10005,115133.2855,163762.6601,1517
10006,111220,156776,972
10007,145458.7823,256235.5719,3520
10009,56615.2777,78138.2679,56975
10010,93702.0061,137105.706,27322
10011,92359.4888,160936.5432,45899
10012,81316.7066,135998.6472,26464
10013,69836.0955,137738.4104,24723
10014,98449.9155,162205.491,32867
10016,96760.4462,144872.3901,49904
10017,102523.5025,149723.7834,16231
10018,84799.0772,112292.3727,4255
10019,84786.4665,133175.3716,39048
10020,113846,147680,1
10021,113800.3846,198530.1081,44173
10022,93106.6559,158965.178,26460
10023,108285.5918,194365.9259,59002
10024,110998.9883,191408.2026,61485
10025,65001.2415,112009.46,96117
10026,31541.8106,50331.7923,25925
10027,38550.3989,57766.9366,57049
10028,105456.4514,192257.802,40914
10029,32876.522,56937.3035,76271
10030,28525.1218,51240.6723,26058
10031,31526.0287,51413.2034,59450
10032,29535.9721,40902.4289,54744
10033,36462.7783,53967.0876,59049
10034,37865.7046,46838.4098,37785
10035,23301.5744,37221.7427,31078
10036,62393.3306,89879.286,18660
10037,40079.7036,52944.5133,16994
10038,55937.3774,89760.0452,15435
10039,28691.9104,37075.3337,21738
10040,37107.0105,48179.6812,46585
10044,102485.7479,117866.0277,9519
10065,108154.9505,191673.5228,31500
10069,54236.0986,108783.6728,1843
10075,112267.5519,188422.4971,25187
10110,36906,79288,33
10128,105186.9788,180473.0702,59434
10162,72258,116427,1726
10165,85565,151404,7
10170,104023,146411,1
10171,104023,146411,1
10199,84275.8,107615.2,10
10278,104405,143247,2
10280,98937.8355,138990.0141,4298
10301,56776.4674,75009.8666,38618
10302,59919.3561,70774.0271,16580
10303,54757.9811,66352.86,22842
10304,46260.4767,65695.4113,36662
10305,58937.658,75468.7376,37014
10306,75212.0632,91445.7035,54812
10307,92780.8404,110791.465,11662
10308,75667.7216,85725.9159,23972
10309,84917.1256,98955.8089,27255
10310,65263.1506,77595.8957,22793
10312,84524.3656,99002.3527,55963
10314,78413.7436,90427.5476,85260
10451,22970.4247,30636.7225,37570
10452,27673.4674,35200.996,71254
10453,26324.188,35179.332,77913
10454,18024.1362,28294.0413,30078
10455,22828.7877,33950.7416,37013
10456,21955.2481,30836.9021,75975
10457,25474.4498,34687.9858,68492
10458,25642.1721,34873.0857,77840
10459,22843.1774,33743.8935,38847
10460,23644.951,33567.5699,53752
10461,47715.8304,58036.9104,48081
10462,46085.2485,51310.3756,71130
10463,52301.5618,65039.2853,62456
10464,1520.168,1673.4115,109
10465,61446.3421,73646.2435,41282
10466,48469.7389,57368.0989,68662
10467,35375.4334,45203.2333,94492
10468,28765.1143,38638.4808,76073
10469,57183.0515,66926.4874,63256
10470,53207.5286,65711.6553,15778
10471,56909.8136,79166.6142,18127
10472,32631.8405,42815.4756,64864
10473,36132.1114,49073.3332,52624
10474,24244.2862,31476.2226,11365
10475,47895.0222,57491.3976,38149
10501,156899.772,192610.3,1134
10502,123762.7309,164349.7771,5184
10503,115875,199102,109
10504,171989.4688,287442.4559,7139
10505,123681.928,149436.528,185
10506,186802.9389,302811.3917,5506
10507,67030.6293,107826.6613,5855
10509,85831.6836,108514.6348,18988
10510,175217.0639,244705.0868,9727
10511,88452.6568,127631.7848,2213
10512,94768.3172,108953.3653,23865
10514,189956.7361,278279.3355,11974
10516,77413.5128,108343.9694,5202
10517,76820,84219,422
10518,163441.0022,227497.2262,954
10519,137961.4082,213441.131,392
10520,95299.4744,123311.6217,12434
10522,107195.4629,132831.2837,10636
10523,80389.5056,97310.6,7710
10524,83073.816,114246.672,4260
10526,158977,218303,1675
10527,158207,191959,895
10528,131615.5931,188528.2193,12301
10530,105377.0473,133485.6057,13240
10532,91258.6094,112888.504,5895
10533,113451.1884,190827.427,7547
10535,106333,130341,454
10536,131967.8549,214945.605,11160
10537,86492.672,93707.3154,1783
10538,150773.8172,248073.7891,16321
10541,95198.2853,114064.4214,26329
10543,94723.7942,146271.5996,20016
10545,112917,152224,134
10546,176042,214907,1243
10547,86362.1663,105364.4632,7332
10548,82778.2079,98134.4296,3027
10549,107169.0282,158325.3778,15655
10550,42807.4916,55141.1859,37904
10552,67770.4118,91158.421,19937
10553,56382.1114,66995.4716,10435
10560,139313.4022,215200.5299,4659
10562,84559.8181,106627.901,30926
10566,56245.0735,71247.2767,22450
10567,108722.7788,128465.3749,18741
10570,132183.0548,181360.9418,12561
10573,73394.0054,105130.3742,36472
10576,219553.9941,339448.7625,4764
10577,193532.8166,361842.2684,3419
10578,134186.325,206558.02,764
10579,92599.7348,102068.11,8097
10580,161991.5583,275650.2741,16560
10583,177857.2801,262308.9417,38273
10588,88148.2603,107894.2855,1914
10589,96884.3575,123163.7722,7404
10590,149130.5302,192346.2326,6755
10591,86347.1454,115737.3213,21538
10594,110168.664,138952.8494,5038
10595,88431.898,107036.9024,7552
10596,85121,100936,778
10597,162875,226377,920
10598,107925.4671,130656.2959,29337
10601,57211.5188,79186.5258,9319
10603,84012.3518,107929.8146,15421
10604,87092.3429,131236.8533,10782
10605,113684.2425,145134.2598,17347
10606,63803.3158,91931.3315,15706
10607,99336.9817,119663.5712,6924
10701,44416.5597,56331.2871,61035
10703,54744.9249,68860.6288,20903
10704,63087.1485,74430.3505,30497
10705,36093.9654,48376.0427,27216
10706,138152.0298,183466.5897,8664
10707,97930.7182,128238.9237,9712
10708,127636.9339,201445.4252,21427
10709,96536.2003,136311.2937,8888
10710,80117.5251,93641.5847,25538
10801,58706.578,80357.7318,36356
10803,137572.2318,218224.9077,11892
10804,158923.7624,225004.7512,14322
10805,29677.0767,41906.0257,11633
10901,86843.4561,113902.6468,22177
10910,78571,125222,42
10913,106055.1068,122840.7854,5149
10914,82100,91315,452
10915,82773,94400,113
10916,105269.229,116636.4474,3887
10917,103897,122911,1720
10918,88168.18,96443.7384,11572
10919,76795.8794,91304.8541,783
10920,95165.5624,112377.1978,8649
10921,84742.1729,98913.1689,3804
10922,75547,80086,1480
10923,80267.1143,95185.1436,8256
10924,84648.575,96934.6379,12319
10925,74809,87065,4870
10926,84067.4986,100623.6679,2901
10927,46498.7732,64351.4346,10121
10928,66151.0804,72944.3439,3881
10930,104131.4665,119779.2976,7253
10931,87256.892,109166.2928,1045
10932,76397,84642,49
10933,85941,95410,389
10940,57731.017,69069.8915,42813
10941,67488.4292,80138.9258,12765
10950,65250.8843,79973.9233,38803
10952,66192.7096,90002.3366,31623
10953,66650,101518,248
10954,93219.2738,106607.6378,22066
10956,114523.2715,138475.808,32030
10958,100108.1195,105057.5441,2916
10960,78144.5666,107534.1526,14569
10962,117728.1796,134732.693,5329
10963,76427,86709,4195
10964,79958,108530,1384
10965,103487.4907,125374.394,14569
10968,92045,129291,2408
10969,80186,89346,1195
10970,89426.0718,107337.5855,9366
10973,95946.224,103078.6496,2016
10974,87352.924,100575.808,3048
10975,78571,125222,359
10976,87985.864,119907.236,2001
10977,67394.1495,81480.9424,48755
10979,74809,87065,264
10980,66696.4888,70878.7413,9534
10983,91703.1731,109710.1206,5646
10984,105625,123510,2815
10985,82773,94400,57
10987,78461.902,124115.447,3003
10988,85941,95410,751
10989,85641.6547,103414.4829,9345
10990,91662.2756,106921.1437,19282
10992,89904.3856,89763.6472,8880
10993,54507.8906,72676.1248,4710
10994,106989.2042,134225.3928,7246
10996,92841,126289,7122
10998,86131.674,95486.398,2453
11001,96704.5377,111212.712,26707
11003,78862.7371,91207.8891,40973
11004,75303.738,84521.7605,13390
11005,57104,101012,2195
11010,82519.1491,96236.5417,23829
11020,117295.2436,166436.845,5733
11021,100154.0824,150972.276,17512
11023,93124.8713,141564.9626,8593
11024,121654.721,190653.476,7993
11030,169390.2851,243352.7844,17033
11040,98762.4917,116894.043,39784
11042,144293,222478,514
11050,114601.8098,163838.7882,28714
11096,55025.568,68940.996,7976
11101,39955.099,51519.3212,22556
11102,48399.4866,61244.8968,35943
11103,52494.8702,66421.0536,44730
