zip_code,total_students,number_overweight,%overweight,number_obese,%obese,Num_farmersmarkets,#_of_retail_stores,Median,Mean,Pop
0,,,,,,,4,,,
10001,,,,,,,,71244.61,123112.7764,17678
10002,,,,,,1,,30843.9574,46258.6118,70878
10003,,,,,,2,,89998.5339,139330.9968,53609
10004,,,,,,1,,110183.6857,156682.7615,1271
10005,,,,,,1,,115133.2855,163762.6601,1517
10006,,,,,,,,111220,156776,972
10007,,,,,,3,,145458.7823,256235.5719,3520
10009,,,,,,2,,56615.2777,78138.2679,56975
10010,,,,,,,,93702.0061,137105.706,27322
10011,,,,,,2,,92359.4888,160936.5432,45899
10012,,,,,,,,81316.7066,135998.6472,26464
10013,,,,,,,,69836.0955,137738.4104,24723
10014,,,,,,1,,98449.9155,162205.491,32867
10016,,,,,,,,96760.4462,144872.3901,49904
10017,,,,,,1,,102523.5025,149723.7834,16231
10018,,,,,,1,,84799.0772,112292.3727,4255
10019,,,,,,1,,84786.4665,133175.3716,39048
10020,,,,,,,,113846,147680,1
10021,,,,,,,,113800.3846,198530.1081,44173
10022,,,,,,,,93106.6559,158965.178,26460
10023,,,,,,1,,108285.5918,194365.9259,59002
10024,,,,,,1,,110998.9883,191408.2026,61485
10025,,,,,,3,,65001.2415,112009.46,96117
10026,,,,,,1,,31541.8106,50331.7923,25925
10027,,,,,,4,,38550.3989,57766.9366,57049
10028,,,,,,1,,105456.4514,192257.802,40914
10029,,,,,,4,,32876.522,56937.3035,76271
10030,,,,,,1,,28525.1218,51240.6723,26058
10031,,,,,,2,,31526.0287,51413.2034,59450
10032,,,,,,1,,29535.9721,40902.4289,54744
10033,,,,,,1,1,36462.7783,53967.0876,59049
10034,,,,,,1,,37865.7046,46838.4098,37785
10035,,,,,,,,23301.5744,37221.7427,31078
10036,,,,,,1,,62393.3306,89879.286,18660
10037,,,,,,1,,40079.7036,52944.5133,16994
10038,,,,,,,,55937.3774,89760.0452,15435
10039,,,,,,,,28691.9104,37075.3337,21738
10040,,,,,,,,37107.0105,48179.6812,46585
10044,,,,,,,,102485.7479,117866.0277,9519
10065,,,,,,,,108154.9505,191673.5228,31500
10069,,,,,,,,54236.0986,108783.6728,1843
